id,from,to,label,release,deadline,weight,volume
1,6.0,10.0,priority,0,24,1130,4.5
2,3.0,9.0,regular,0,40,850,2.0
3,4.0,9.0,priority,0,24,1530,6.1
4,5.0,10.0,regular,0,40,910,2.8
5,4.0,8.0,urgent,0,12,970,2.1
6,2.0,5.0,priority,0,24,840,3.5
7,8.0,9.0,urgent,0,12,640,1.7
8,8.0,10.0,regular,0,40,770,1.5
9,2.0,9.0,regular,0,40,1110,5.0
10,5.0,8.0,regular,0,40,600,2.2
11,7.0,9.0,priority,0,24,710,3.5
12,3.0,6.0,priority,0,24,1360,5.2
13,6.0,8.0,regular,0,40,690,1.7
14,2.0,6.0,priority,0,24,1200,2.6
15,1.0,9.0,urgent,0,12,610,2.8
16,3.0,8.0,regular,0,40,1430,5.3
17,6.0,9.0,regular,0,40,730,1.0
18,6.0,8.0,regular,0,40,1200,5.0
19,2.0,8.0,priority,0,24,1310,3.6
20,4.0,9.0,priority,0,24,840,2.0
21,1.0,3.0,urgent,0,12,640,1.8
22,4.0,9.0,urgent,0,12,1070,3.8
23,2.0,10.0,priority,0,24,1320,3.6
24,1.0,9.0,priority,0,24,890,3.1
25,5.0,8.0,priority,0,24,1620,4.0
26,2.0,9.0,urgent,0,12,1050,2.3
27,7.0,10.0,priority,0,24,870,3.4
28,3.0,4.0,regular,0,40,730,1.7
29,5.0,6.0,urgent,0,12,580,0.8
30,2.0,7.0,regular,0,40,840,2.8
31,1.0,10.0,regular,0,40,720,3.4
32,1.0,8.0,urgent,0,12,760,2.1
33,2.0,7.0,urgent,0,12,710,1.4
34,1.0,4.0,regular,0,40,2710,8.6
35,1.0,7.0,regular,0,40,1540,3.9
36,3.0,7.0,regular,0,40,920,3.4
37,2.0,4.0,priority,0,24,720,1.2
38,3.0,5.0,priority,0,24,780,2.9
39,7.0,8.0,regular,0,40,760,1.9
40,4.0,9.0,regular,0,40,760,2.7
41,4.0,5.0,urgent,0,12,730,2.5
42,2.0,6.0,regular,0,40,770,3.3
43,5.0,8.0,priority,0,24,1860,6.1
44,4.0,7.0,urgent,0,12,890,3.9
45,6.0,9.0,urgent,0,12,1100,2.6
46,2.0,4.0,priority,0,24,630,2.8
47,6.0,10.0,urgent,0,12,1370,4.1
48,7.0,8.0,regular,0,40,1070,3.8
49,7.0,10.0,urgent,0,12,1530,5.2
50,5.0,7.0,urgent,0,12,1420,5.6
