id,from,to,label,release,deadline,weight,volume
1,3.0,6.0,regular,0,40,770,2.6
2,7.0,10.0,priority,0,24,770,3.9
3,1.0,5.0,priority,0,24,1570,4.7
4,1.0,6.0,regular,0,40,880,4.1
5,1.0,10.0,priority,0,24,890,4.2
6,1.0,6.0,urgent,0,12,760,3.4
7,3.0,5.0,priority,0,24,1000,3.7
8,1.0,10.0,regular,0,40,1870,6.4
9,3.0,8.0,priority,0,24,1040,2.0
10,3.0,5.0,regular,0,40,1240,4.9
11,9.0,10.0,priority,0,24,930,3.1
12,4.0,9.0,regular,0,40,710,0.9
13,8.0,10.0,regular,0,40,700,1.2
14,3.0,10.0,priority,0,24,700,2.5
15,5.0,6.0,priority,0,24,1420,5.6
16,6.0,10.0,regular,0,40,990,2.4
17,4.0,9.0,urgent,0,12,890,3.3
18,8.0,9.0,priority,0,24,1750,4.5
19,2.0,7.0,regular,0,40,1390,4.2
20,2.0,8.0,priority,0,24,1250,2.8
21,4.0,6.0,regular,0,40,4180,13.4
22,1.0,10.0,regular,0,40,840,1.9
23,8.0,9.0,priority,0,24,1270,4.9
24,8.0,10.0,priority,0,24,760,1.1
25,1.0,5.0,regular,0,40,700,3.6
26,8.0,10.0,regular,0,40,1030,4.3
27,3.0,10.0,urgent,0,12,660,2.1
28,7.0,9.0,regular,0,40,950,1.8
29,2.0,8.0,regular,0,40,820,2.9
30,6.0,7.0,regular,0,40,740,1.3
31,7.0,10.0,regular,0,40,750,1.8
32,2.0,4.0,priority,0,24,800,3.8
33,3.0,6.0,regular,0,40,1310,4.6
34,3.0,4.0,regular,0,40,1020,3.5
35,1.0,6.0,urgent,0,12,970,4.0
36,7.0,10.0,regular,0,40,2410,8.9
37,1.0,9.0,priority,0,24,1020,3.1
38,6.0,7.0,priority,0,24,670,3.3
39,7.0,10.0,priority,0,24,1090,2.5
40,8.0,9.0,priority,0,24,770,1.9
41,4.0,5.0,regular,0,40,840,2.5
42,6.0,8.0,regular,0,40,1060,2.9
43,2.0,3.0,urgent,0,12,1470,4.9
44,6.0,7.0,regular,0,40,780,2.9
45,3.0,8.0,regular,0,40,730,2.4
46,1.0,4.0,regular,0,40,830,1.5
47,3.0,9.0,priority,0,24,1170,4.0
48,3.0,6.0,regular,0,40,720,3.5
49,1.0,7.0,regular,0,40,760,2.1
50,4.0,5.0,regular,0,40,640,1.3
51,2.0,6.0,priority,0,24,1070,4.6
52,4.0,7.0,urgent,0,12,780,1.8
53,1.0,10.0,regular,0,40,980,2.7
54,4.0,6.0,urgent,0,12,1080,4.9
55,1.0,9.0,priority,0,24,1140,2.5
56,1.0,4.0,regular,0,40,1240,2.7
57,1.0,4.0,priority,0,24,780,3.9
58,6.0,9.0,urgent,0,12,1360,5.6
59,5.0,8.0,priority,0,24,770,2.4
60,1.0,8.0,priority,0,24,820,2.7
61,7.0,9.0,urgent,0,12,1090,3.6
62,5.0,6.0,urgent,0,12,950,2.8
63,6.0,9.0,regular,0,40,1160,3.5
64,3.0,4.0,priority,0,24,1040,2.9
65,2.0,8.0,urgent,0,12,1290,5.0
66,2.0,5.0,regular,0,40,1060,2.4
67,4.0,9.0,regular,0,40,790,3.7
68,4.0,10.0,priority,0,24,880,1.6
69,2.0,3.0,regular,0,40,660,3.4
70,6.0,9.0,regular,0,40,1200,4.5
71,1.0,5.0,priority,0,24,1300,2.9
72,3.0,10.0,urgent,0,12,830,3.5
73,3.0,7.0,regular,0,40,770,1.7
74,3.0,6.0,priority,0,24,910,2.5
75,2.0,3.0,priority,0,24,1550,5.2
76,2.0,7.0,regular,0,40,770,3.9
77,4.0,8.0,regular,0,40,1640,5.5
78,4.0,9.0,regular,0,40,1140,3.8
79,4.0,7.0,priority,0,24,1020,2.1
80,3.0,8.0,priority,0,24,700,2.1
81,1.0,10.0,priority,0,24,1170,3.3
82,1.0,6.0,regular,0,40,950,1.8
83,2.0,6.0,priority,0,24,1390,3.9
84,6.0,9.0,priority,0,24,940,3.1
85,1.0,7.0,priority,0,24,640,1.0
86,2.0,7.0,regular,0,40,700,1.3
87,5.0,8.0,priority,0,24,810,3.1
88,5.0,6.0,regular,0,40,830,2.1
89,1.0,9.0,regular,0,40,1000,3.1
90,1.0,8.0,regular,0,40,670,1.8
91,8.0,9.0,priority,0,24,970,2.4
92,4.0,5.0,priority,0,24,710,1.2
93,6.0,10.0,urgent,0,12,1120,3.2
94,1.0,5.0,regular,0,40,670,0.8
95,5.0,7.0,urgent,0,12,1430,5.0
96,1.0,5.0,regular,0,40,1080,3.6
97,2.0,9.0,regular,0,40,950,3.6
98,4.0,8.0,urgent,0,12,620,0.8
99,3.0,5.0,priority,0,24,770,1.2
100,2.0,10.0,priority,0,24,1430,3.7
