,from_city_id,to_city_id,distance
0,1.0,2.0,524.0
1,2.0,1.0,524.0
2,1.0,3.0,552.0
3,3.0,1.0,552.0
4,1.0,4.0,488.0
5,4.0,1.0,488.0
6,1.0,6.0,442.0
7,6.0,1.0,442.0
8,1.0,10.0,332.0
9,10.0,1.0,332.0
10,1.0,11.0,295.0
11,11.0,1.0,295.0
12,1.0,15.0,208.0
13,15.0,1.0,208.0
14,1.0,16.0,206.0
15,16.0,1.0,206.0
16,1.0,21.0,666.0
17,21.0,1.0,666.0
18,1.0,22.0,644.0
19,22.0,1.0,644.0
20,2.0,10.0,374.0
21,10.0,2.0,374.0
22,2.0,15.0,286.0
23,15.0,2.0,286.0
24,2.0,17.0,594.0
25,17.0,2.0,594.0
26,2.0,18.0,131.0
27,18.0,2.0,131.0
28,2.0,21.0,396.0
29,21.0,2.0,396.0
30,2.0,22.0,401.0
31,22.0,2.0,401.0
32,3.0,8.0,443.0
33,8.0,3.0,443.0
34,3.0,11.0,391.0
35,11.0,3.0,391.0
36,3.0,12.0,552.0
37,12.0,3.0,552.0
38,3.0,15.0,556.0
39,15.0,3.0,556.0
40,3.0,16.0,601.0
41,16.0,3.0,601.0
42,4.0,5.0,292.0
43,5.0,4.0,292.0
44,4.0,6.0,133.0
45,6.0,4.0,133.0
46,4.0,10.0,331.0
47,10.0,4.0,331.0
48,4.0,11.0,604.0
49,11.0,4.0,604.0
50,4.0,15.0,653.0
51,15.0,4.0,653.0
52,4.0,16.0,359.0
53,16.0,4.0,359.0
54,4.0,22.0,608.0
55,22.0,4.0,608.0
56,4.0,24.0,506.0
57,24.0,4.0,506.0
58,4.0,25.0,486.0
59,25.0,4.0,486.0
60,5.0,6.0,228.0
61,6.0,5.0,228.0
62,5.0,11.0,579.0
63,11.0,5.0,579.0
64,5.0,16.0,615.0
65,16.0,5.0,615.0
66,5.0,25.0,346.0
67,25.0,5.0,346.0
68,6.0,10.0,387.0
69,10.0,6.0,387.0
70,6.0,11.0,502.0
71,11.0,6.0,502.0
72,6.0,16.0,318.0
73,16.0,6.0,318.0
74,6.0,24.0,600.0
75,24.0,6.0,600.0
76,6.0,25.0,447.0
77,25.0,6.0,447.0
78,7.0,13.0,327.0
79,13.0,7.0,327.0
80,7.0,19.0,490.0
81,19.0,7.0,490.0
82,7.0,20.0,474.0
83,20.0,7.0,474.0
84,8.0,12.0,210.0
85,12.0,8.0,210.0
86,9.0,13.0,408.0
87,13.0,9.0,408.0
88,9.0,20.0,299.0
89,20.0,9.0,299.0
90,10.0,11.0,450.0
91,11.0,10.0,450.0
92,10.0,15.0,275.0
93,15.0,10.0,275.0
94,10.0,16.0,269.0
95,16.0,10.0,269.0
96,10.0,18.0,518.0
97,18.0,10.0,518.0
98,10.0,22.0,217.0
99,22.0,10.0,217.0
100,10.0,24.0,510.0
101,24.0,10.0,510.0
102,11.0,15.0,412.0
103,15.0,11.0,412.0
104,11.0,16.0,195.0
105,16.0,11.0,195.0
106,12.0,14.0,553.0
107,14.0,12.0,553.0
108,12.0,23.0,476.0
109,23.0,12.0,476.0
110,13.0,19.0,358.0
111,19.0,13.0,358.0
112,13.0,20.0,273.0
113,20.0,13.0,273.0
114,14.0,17.0,389.0
115,17.0,14.0,389.0
116,14.0,21.0,396.0
117,21.0,14.0,396.0
118,14.0,23.0,131.0
119,23.0,14.0,131.0
120,15.0,16.0,304.0
121,16.0,15.0,304.0
122,15.0,18.0,481.0
123,18.0,15.0,481.0
124,15.0,21.0,569.0
125,21.0,15.0,569.0
126,15.0,22.0,493.0
127,22.0,15.0,493.0
128,16.0,22.0,502.0
129,22.0,16.0,502.0
130,17.0,18.0,504.0
131,18.0,17.0,504.0
132,17.0,21.0,341.0
133,21.0,17.0,341.0
134,17.0,23.0,456.0
135,23.0,17.0,456.0
136,18.0,21.0,400.0
137,21.0,18.0,400.0
138,18.0,22.0,603.0
139,22.0,18.0,603.0
140,19.0,20.0,563.0
141,20.0,19.0,563.0
142,19.0,25.0,387.0
143,25.0,19.0,387.0
144,21.0,23.0,417.0
145,23.0,21.0,417.0
146,22.0,24.0,399.0
147,24.0,22.0,399.0
148,24.0,25.0,637.0
149,25.0,24.0,637.0
