id,from,to,label,release,deadline,weight,volume
1,17.0,25.0,regular,0,40,650,3.1
2,2.0,6.0,regular,0,40,1200,3.9
3,21.0,23.0,priority,0,24,640,1.7
4,13.0,17.0,regular,0,40,730,3.6
5,10.0,18.0,priority,0,24,720,1.8
6,2.0,19.0,urgent,0,12,700,1.5
7,4.0,24.0,urgent,0,12,830,3.8
8,4.0,19.0,priority,0,24,920,2.6
9,4.0,20.0,regular,0,40,680,1.5
10,2.0,10.0,regular,0,40,1030,2.5
11,13.0,21.0,regular,0,40,1520,4.6
12,18.0,22.0,regular,0,40,890,1.7
13,7.0,15.0,priority,0,24,550,2.3
14,4.0,23.0,priority,0,24,1580,5.7
15,3.0,18.0,priority,0,24,710,2.3
16,2.0,18.0,priority,0,24,710,2.4
17,6.0,11.0,priority,0,24,1190,3.4
18,1.0,25.0,regular,0,40,1230,3.6
19,6.0,10.0,regular,0,40,940,2.0
20,10.0,14.0,priority,0,24,620,1.8
21,20.0,22.0,regular,0,40,780,1.8
22,6.0,10.0,priority,0,24,1160,2.9
23,4.0,11.0,regular,0,40,830,3.0
24,6.0,15.0,regular,0,40,790,3.9
25,22.0,23.0,regular,0,40,910,3.5
26,5.0,18.0,priority,0,24,1070,3.4
27,9.0,22.0,priority,0,24,730,2.6
28,9.0,15.0,priority,0,24,650,3.2
29,3.0,22.0,priority,0,24,880,2.7
30,16.0,23.0,priority,0,24,860,3.3
31,22.0,24.0,regular,0,40,1130,5.0
32,5.0,16.0,priority,0,24,1550,5.1
33,4.0,5.0,urgent,0,12,860,3.5
34,1.0,24.0,regular,0,40,1190,2.7
35,8.0,20.0,priority,0,24,1000,4.4
36,20.0,22.0,regular,0,40,900,2.8
37,6.0,23.0,priority,0,24,1040,4.0
38,2.0,7.0,regular,0,40,990,2.8
39,1.0,11.0,urgent,0,12,840,1.4
40,9.0,17.0,priority,0,24,1060,4.2
41,9.0,16.0,regular,0,40,770,3.8
42,19.0,20.0,regular,0,40,880,1.5
43,9.0,11.0,priority,0,24,1300,3.4
44,10.0,21.0,regular,0,40,1400,5.3
45,2.0,17.0,priority,0,24,880,4.2
46,14.0,16.0,priority,0,24,980,2.5
47,11.0,19.0,priority,0,24,1390,3.6
48,1.0,17.0,regular,0,40,730,2.5
49,1.0,19.0,priority,0,24,1990,5.7
50,3.0,21.0,regular,0,40,640,1.1
51,22.0,25.0,regular,0,40,1150,2.6
52,2.0,9.0,priority,0,24,680,3.1
53,6.0,18.0,priority,0,24,1430,5.5
54,16.0,20.0,priority,0,24,790,2.1
55,3.0,14.0,regular,0,40,1020,3.0
56,12.0,20.0,regular,0,40,610,2.3
57,1.0,21.0,regular,0,40,1590,6.6
58,2.0,17.0,regular,0,40,800,2.6
59,10.0,15.0,priority,0,24,820,1.4
60,8.0,24.0,priority,0,24,740,1.2
61,14.0,18.0,urgent,0,12,890,1.8
62,7.0,10.0,urgent,0,12,1240,3.2
63,2.0,6.0,urgent,0,12,870,2.2
64,4.0,20.0,priority,0,24,950,3.2
65,3.0,21.0,priority,0,24,1070,2.6
66,9.0,15.0,priority,0,24,940,2.7
67,4.0,11.0,regular,0,40,670,1.5
68,6.0,15.0,regular,0,40,860,2.3
69,3.0,18.0,regular,0,40,1310,3.0
70,2.0,25.0,regular,0,40,1200,4.0
71,4.0,13.0,regular,0,40,880,2.3
72,2.0,19.0,regular,0,40,760,2.2
73,14.0,20.0,regular,0,40,850,1.8
74,7.0,12.0,urgent,0,12,690,2.3
75,14.0,22.0,priority,0,24,1480,4.8
76,17.0,21.0,priority,0,24,690,1.5
77,21.0,24.0,priority,0,24,1170,4.9
78,15.0,18.0,regular,0,40,1140,4.8
79,16.0,19.0,regular,0,40,940,4.4
80,4.0,15.0,regular,0,40,1170,4.3
81,8.0,23.0,urgent,0,12,690,2.9
82,2.0,11.0,regular,0,40,730,3.8
83,8.0,16.0,priority,0,24,860,2.1
84,3.0,12.0,regular,0,40,1820,6.5
85,9.0,14.0,regular,0,40,1130,4.4
86,12.0,17.0,regular,0,40,1050,2.3
87,7.0,23.0,priority,0,24,1670,4.5
88,9.0,20.0,regular,0,40,810,1.8
89,10.0,18.0,regular,0,40,680,1.1
90,1.0,19.0,priority,0,24,900,3.6
91,13.0,14.0,priority,0,24,1590,6.0
92,12.0,20.0,regular,0,40,900,4.4
93,2.0,3.0,regular,0,40,620,0.9
94,7.0,10.0,regular,0,40,1320,5.6
95,16.0,25.0,priority,0,24,1330,3.2
96,13.0,20.0,priority,0,24,820,3.7
97,7.0,17.0,urgent,0,12,890,3.2
98,13.0,15.0,priority,0,24,1040,2.9
99,13.0,22.0,urgent,0,12,1220,3.6
100,1.0,9.0,regular,0,40,1250,4.7
