,from_city_id,to_city_id,distance
0,13.0,16.0,1435.0
1,16.0,13.0,1435.0
2,13.0,17.0,1019.0
3,17.0,13.0,1019.0
4,13.0,20.0,1420.0
5,20.0,13.0,1420.0
6,13.0,36.0,787.0
7,36.0,13.0,787.0
8,16.0,17.0,633.0
9,17.0,16.0,633.0
10,16.0,20.0,514.0
11,20.0,16.0,514.0
12,16.0,36.0,643.0
13,36.0,16.0,643.0
14,16.0,46.0,1346.0
15,46.0,16.0,1346.0
16,17.0,20.0,390.0
17,20.0,17.0,390.0
18,17.0,36.0,430.0
19,36.0,17.0,430.0
20,17.0,46.0,869.0
21,46.0,17.0,869.0
22,20.0,36.0,722.0
23,36.0,20.0,722.0
24,20.0,46.0,1264.0
25,46.0,20.0,1264.0
26,36.0,46.0,716.0
27,46.0,36.0,716.0
