,station,vehicle_type
0,13.0,6
1,46.0,6
2,36.0,6
3,17.0,6
4,16.0,6
5,20.0,6
6,13.0,5
7,20.0,5
8,16.0,5
9,1.0,2
10,2.0,2
11,3.0,2
12,3.0,2
13,4.0,2
14,5.0,4
15,5.0,2
16,6.0,4
17,7.0,4
18,8.0,4
19,9.0,2
20,10.0,2
21,10.0,4
22,11.0,2
23,11.0,4
24,12.0,4
25,12.0,4
26,13.0,2
27,14.0,2
28,14.0,4
29,15.0,2
30,15.0,2
31,16.0,2
32,16.0,2
33,17.0,4
34,18.0,4
35,18.0,4
36,19.0,4
37,19.0,4
38,20.0,4
39,21.0,2
40,22.0,2
41,23.0,2
42,23.0,2
43,24.0,4
44,24.0,4
45,25.0,2
46,25.0,2
47,26.0,4
48,27.0,4
49,27.0,2
50,28.0,4
51,28.0,4
52,29.0,4
53,30.0,4
54,30.0,4
55,31.0,4
56,32.0,4
57,33.0,4
58,33.0,2
59,34.0,4
60,35.0,4
61,36.0,4
62,37.0,2
63,37.0,2
64,38.0,4
65,39.0,2
66,40.0,2
67,41.0,2
68,42.0,2
69,43.0,4
70,44.0,2
71,44.0,2
72,45.0,4
73,45.0,2
74,46.0,2
75,47.0,2
76,48.0,2
77,49.0,2
78,49.0,4
79,50.0,2
