,from_city_id,to_city_id,distance
0,6.0,9.0,893.0
1,9.0,6.0,893.0
2,6.0,10.0,1269.0
3,10.0,6.0,1269.0
4,6.0,14.0,1149.0
5,14.0,6.0,1149.0
6,9.0,14.0,1090.0
7,14.0,9.0,1090.0
8,9.0,19.0,1211.0
9,19.0,9.0,1211.0
10,9.0,23.0,557.0
11,23.0,9.0,557.0
12,9.0,46.0,625.0
13,46.0,9.0,625.0
14,10.0,14.0,990.0
15,14.0,10.0,990.0
16,10.0,19.0,1481.0
17,19.0,10.0,1481.0
18,10.0,23.0,1020.0
19,23.0,10.0,1020.0
20,10.0,46.0,881.0
21,46.0,10.0,881.0
22,14.0,19.0,1001.0
23,19.0,14.0,1001.0
24,14.0,23.0,1283.0
25,23.0,14.0,1283.0
26,14.0,46.0,774.0
27,46.0,14.0,774.0
28,19.0,23.0,877.0
29,23.0,19.0,877.0
30,19.0,46.0,602.0
31,46.0,19.0,602.0
32,23.0,46.0,505.0
33,46.0,23.0,505.0
