id,name,coordinate_x,coordinate_y,airport
1.0,alr,9.48,9.0,False
2.0,sko,12.88,6.16,False
3.0,ikm,2.05,2.81,False
4.0,nmd,1.28,12.13,False
5.0,pst,8.16,2.21,False
6.0,uyy,9.87,12.55,True
7.0,obe,12.82,12.13,False
8.0,kll,9.37,7.93,False
9.0,mio,3.43,7.06,True
10.0,ogy,3.27,2.71,True
11.0,cto,12.76,1.33,False
12.0,eqk,2.65,2.28,False
13.0,fyz,13.42,5.79,False
14.0,rla,12.55,2.23,True
15.0,jvj,13.17,11.01,False
16.0,nhi,3.47,6.21,False
17.0,ucd,8.73,2.98,False
18.0,syr,2.73,6.47,False
19.0,ctq,13.81,11.5,True
20.0,gan,8.72,7.45,False
21.0,xkj,1.77,12.46,False
22.0,mmv,7.87,3.06,False
23.0,vaf,5.58,11.89,True
24.0,zgs,9.0,13.09,False
25.0,xpw,7.15,2.09,False
26.0,qns,14.27,12.43,False
27.0,btb,9.08,12.4,False
28.0,efu,12.01,6.02,False
29.0,vtr,11.93,1.17,False
30.0,guh,4.94,11.51,False
31.0,yhx,1.67,11.52,False
32.0,oru,14.35,10.41,False
33.0,skw,13.59,12.24,False
34.0,dwi,6.17,11.46,False
35.0,hrw,5.04,12.81,False
36.0,jps,7.09,3.07,False
37.0,ues,5.83,12.78,False
38.0,yrv,3.62,1.93,False
39.0,pnt,8.34,8.74,False
40.0,iui,2.61,7.13,False
41.0,zoj,9.25,11.74,False
42.0,zvd,2.86,3.32,False
43.0,mke,9.69,13.59,False
44.0,ytn,13.84,6.41,False
45.0,soq,4.02,6.58,False
46.0,icw,9.05,8.61,True
47.0,xei,12.23,5.46,False
48.0,eyq,12.9,5.25,False
49.0,xxi,13.76,10.71,False
50.0,oyx,13.11,0.91,False
