,station,vehicle_type
0,9.0,6
1,10.0,6
2,14.0,6
3,19.0,6
4,46.0,6
5,23.0,5
6,6.0,6
7,6.0,5
8,10.0,5
9,14.0,5
10,1.0,2
11,1.0,4
12,2.0,2
13,2.0,4
14,3.0,2
15,4.0,2
16,5.0,2
17,5.0,2
18,6.0,4
19,7.0,4
20,8.0,2
21,9.0,2
22,9.0,4
23,10.0,4
24,10.0,4
25,11.0,4
26,12.0,2
27,13.0,4
28,13.0,2
29,14.0,2
30,14.0,4
31,15.0,4
32,16.0,2
33,16.0,4
34,17.0,4
35,17.0,4
36,18.0,4
37,18.0,4
38,19.0,2
39,20.0,2
40,20.0,2
41,21.0,2
42,21.0,2
43,22.0,4
44,22.0,2
45,23.0,2
46,23.0,4
47,24.0,2
48,24.0,4
49,25.0,4
50,26.0,4
51,26.0,4
52,27.0,4
53,27.0,2
54,28.0,4
55,29.0,4
56,30.0,4
57,31.0,2
58,32.0,4
59,33.0,2
60,33.0,4
61,34.0,4
62,35.0,2
63,36.0,4
64,36.0,4
65,37.0,2
66,38.0,2
67,38.0,4
68,39.0,2
69,40.0,2
70,41.0,4
71,41.0,4
72,42.0,4
73,43.0,4
74,44.0,2
75,44.0,4
76,45.0,4
77,45.0,2
78,46.0,2
79,46.0,2
80,47.0,2
81,47.0,2
82,48.0,4
83,49.0,4
84,49.0,2
85,50.0,2
