,from_city_id,to_city_id,distance
0,1.0,2.0,532.0
1,2.0,1.0,532.0
2,1.0,6.0,577.0
3,6.0,1.0,577.0
4,1.0,7.0,838.0
5,7.0,1.0,838.0
6,1.0,8.0,192.0
7,8.0,1.0,192.0
8,1.0,15.0,732.0
9,15.0,1.0,732.0
10,1.0,20.0,210.0
11,20.0,1.0,210.0
12,1.0,24.0,552.0
13,24.0,1.0,552.0
14,1.0,27.0,501.0
15,27.0,1.0,501.0
16,1.0,28.0,709.0
17,28.0,1.0,709.0
18,1.0,34.0,532.0
19,34.0,1.0,532.0
20,1.0,39.0,142.0
21,39.0,1.0,142.0
22,1.0,41.0,482.0
23,41.0,1.0,482.0
24,1.0,43.0,711.0
25,43.0,1.0,711.0
26,1.0,46.0,109.0
27,46.0,1.0,109.0
28,1.0,47.0,637.0
29,47.0,1.0,637.0
30,1.0,49.0,779.0
31,49.0,1.0,779.0
32,2.0,8.0,590.0
33,8.0,2.0,590.0
34,2.0,13.0,94.0
35,13.0,2.0,94.0
36,2.0,14.0,478.0
37,14.0,2.0,478.0
38,2.0,20.0,711.0
39,20.0,2.0,711.0
40,2.0,28.0,113.0
41,28.0,2.0,113.0
42,2.0,32.0,833.0
43,32.0,2.0,833.0
44,2.0,44.0,173.0
45,44.0,2.0,173.0
46,2.0,46.0,687.0
47,46.0,2.0,687.0
48,2.0,47.0,154.0
49,47.0,2.0,154.0
50,2.0,48.0,131.0
51,48.0,2.0,131.0
52,2.0,49.0,621.0
53,49.0,2.0,621.0
54,3.0,9.0,754.0
55,9.0,3.0,754.0
56,3.0,10.0,222.0
57,10.0,3.0,222.0
58,3.0,12.0,145.0
59,12.0,3.0,145.0
60,3.0,16.0,614.0
61,16.0,3.0,614.0
62,3.0,18.0,608.0
63,18.0,3.0,608.0
64,3.0,38.0,296.0
65,38.0,3.0,296.0
66,3.0,40.0,821.0
67,40.0,3.0,821.0
68,3.0,42.0,141.0
69,42.0,3.0,141.0
70,3.0,45.0,626.0
71,45.0,3.0,626.0
72,4.0,21.0,87.0
73,21.0,4.0,87.0
74,4.0,23.0,572.0
75,23.0,4.0,572.0
76,4.0,30.0,620.0
77,30.0,4.0,620.0
78,4.0,31.0,97.0
79,31.0,4.0,97.0
80,4.0,35.0,605.0
81,35.0,4.0,605.0
82,4.0,37.0,559.0
83,37.0,4.0,559.0
84,5.0,11.0,596.0
85,11.0,5.0,596.0
86,5.0,14.0,699.0
87,14.0,5.0,699.0
88,5.0,17.0,129.0
89,17.0,5.0,129.0
90,5.0,22.0,126.0
91,22.0,5.0,126.0
92,5.0,25.0,160.0
93,25.0,5.0,160.0
94,5.0,29.0,593.0
95,29.0,5.0,593.0
96,5.0,36.0,222.0
97,36.0,5.0,222.0
98,5.0,38.0,819.0
99,38.0,5.0,819.0
100,6.0,7.0,374.0
101,7.0,6.0,374.0
102,6.0,8.0,605.0
103,8.0,6.0,605.0
104,6.0,15.0,565.0
105,15.0,6.0,565.0
106,6.0,19.0,584.0
107,19.0,6.0,584.0
108,6.0,23.0,561.0
109,23.0,6.0,561.0
110,6.0,24.0,174.0
111,24.0,6.0,174.0
112,6.0,26.0,588.0
113,26.0,6.0,588.0
114,6.0,27.0,142.0
115,27.0,6.0,142.0
116,6.0,33.0,561.0
117,33.0,6.0,561.0
118,6.0,34.0,690.0
119,34.0,6.0,690.0
120,6.0,37.0,690.0
121,37.0,6.0,690.0
122,6.0,39.0,638.0
123,39.0,6.0,638.0
124,6.0,41.0,162.0
125,41.0,6.0,162.0
126,6.0,43.0,196.0
127,43.0,6.0,196.0
128,6.0,46.0,597.0
129,46.0,6.0,597.0
130,6.0,49.0,634.0
131,49.0,6.0,634.0
132,7.0,15.0,174.0
133,15.0,7.0,174.0
134,7.0,19.0,202.0
135,19.0,7.0,202.0
136,7.0,24.0,542.0
137,24.0,7.0,542.0
138,7.0,26.0,276.0
139,26.0,7.0,276.0
140,7.0,27.0,576.0
141,27.0,7.0,576.0
142,7.0,32.0,408.0
143,32.0,7.0,408.0
144,7.0,33.0,110.0
145,33.0,7.0,110.0
