id,from,to,label,release,deadline,weight,volume
1,6.0,17.0,regular,0,40,2720,9.5
2,33.0,45.0,priority,0,24,1010,4.0
3,22.0,41.0,priority,0,24,770,1.7
4,33.0,48.0,urgent,0,12,770,1.1
5,49.0,50.0,regular,0,40,1020,4.0
6,27.0,48.0,priority,0,24,870,1.8
7,7.0,45.0,urgent,0,12,1230,3.7
8,3.0,23.0,regular,0,40,970,4.6
9,22.0,42.0,regular,0,40,1310,5.5
10,9.0,47.0,regular,0,40,820,3.0
11,26.0,27.0,priority,0,24,880,2.1
12,19.0,23.0,regular,0,40,1440,5.7
13,22.0,40.0,regular,0,40,970,3.2
14,1.0,37.0,urgent,0,12,1660,4.5
15,36.0,49.0,regular,0,40,1370,4.6
16,12.0,46.0,regular,0,40,600,2.6
17,1.0,29.0,urgent,0,12,650,2.1
18,13.0,23.0,regular,0,40,780,3.6
19,3.0,40.0,regular,0,40,620,2.5
20,37.0,43.0,priority,0,24,720,1.1
21,7.0,9.0,urgent,0,12,1100,4.3
22,4.0,23.0,regular,0,40,720,2.0
23,12.0,23.0,regular,0,40,680,2.2
24,23.0,33.0,priority,0,24,740,1.8
25,17.0,22.0,regular,0,40,2080,7.7
26,23.0,45.0,regular,0,40,1020,4.2
27,20.0,47.0,regular,0,40,650,3.4
28,33.0,41.0,regular,0,40,720,1.4
29,7.0,23.0,regular,0,40,830,1.8
30,6.0,45.0,regular,0,40,1720,6.0
31,11.0,18.0,regular,0,40,1070,2.9
32,33.0,46.0,priority,0,24,1010,4.7
33,18.0,47.0,regular,0,40,1330,4.2
34,12.0,26.0,regular,0,40,1370,4.8
35,26.0,47.0,urgent,0,12,680,2.8
36,37.0,43.0,priority,0,24,1310,5.2
37,1.0,24.0,priority,0,24,990,4.2
38,27.0,48.0,priority,0,24,820,2.6
39,33.0,43.0,priority,0,24,830,1.4
40,25.0,38.0,regular,0,40,730,3.3
41,32.0,50.0,regular,0,40,680,3.3
42,12.0,41.0,priority,0,24,940,2.3
43,23.0,50.0,regular,0,40,740,3.4
44,21.0,40.0,priority,0,24,1010,3.4
45,7.0,14.0,regular,0,40,1070,3.3
46,2.0,21.0,regular,0,40,1300,5.5
47,3.0,31.0,regular,0,40,830,3.5
48,19.0,47.0,regular,0,40,880,3.6
49,41.0,46.0,regular,0,40,820,3.0
50,7.0,23.0,regular,0,40,880,3.2
51,31.0,44.0,urgent,0,12,1580,4.6
52,35.0,42.0,regular,0,40,850,1.5
53,25.0,31.0,priority,0,24,810,4.0
54,15.0,17.0,regular,0,40,680,2.9
