id,from,to,label,release,deadline,weight,volume
1,26.0,36.0,regular,0,40,1380,5.7
2,34.0,47.0,priority,0,24,2060,5.9
3,19.0,28.0,urgent,0,12,1190,3.2
4,13.0,29.0,priority,0,24,770,1.3
5,11.0,20.0,regular,0,40,1660,6.0
6,23.0,32.0,urgent,0,12,980,3.2
7,39.0,50.0,priority,0,24,850,1.5
8,22.0,25.0,regular,0,40,740,1.1
9,30.0,48.0,priority,0,24,890,2.1
10,20.0,48.0,priority,0,24,850,2.2
11,26.0,35.0,urgent,0,12,850,2.2
12,17.0,45.0,regular,0,40,1100,3.1
13,23.0,28.0,urgent,0,12,820,2.9
14,11.0,33.0,regular,0,40,830,2.2
15,6.0,18.0,priority,0,24,880,4.3
16,14.0,46.0,priority,0,24,1000,2.2
17,35.0,41.0,regular,0,40,1780,4.7
18,9.0,49.0,regular,0,40,690,3.1
19,18.0,27.0,urgent,0,12,750,1.1
20,2.0,48.0,priority,0,24,880,2.7
21,36.0,45.0,urgent,0,12,800,1.7
22,10.0,16.0,regular,0,40,1450,4.2
23,24.0,49.0,priority,0,24,750,2.8
24,6.0,29.0,priority,0,24,820,3.3
25,2.0,20.0,regular,0,40,800,2.8
26,26.0,49.0,regular,0,40,950,3.7
27,2.0,33.0,urgent,0,12,1270,3.2
28,5.0,32.0,priority,0,24,830,2.0
29,45.0,46.0,urgent,0,12,1170,3.3
30,14.0,29.0,priority,0,24,930,2.0
31,2.0,23.0,priority,0,24,860,2.9
32,7.0,45.0,regular,0,40,900,2.3
33,19.0,28.0,priority,0,24,1220,2.6
34,35.0,39.0,regular,0,40,560,1.2
35,31.0,40.0,priority,0,24,990,4.2
36,7.0,15.0,urgent,0,12,1050,4.0
37,43.0,44.0,priority,0,24,760,3.2
38,21.0,30.0,urgent,0,12,1270,2.8
39,23.0,28.0,regular,0,40,1230,5.2
40,26.0,46.0,priority,0,24,750,2.5
41,6.0,23.0,regular,0,40,840,3.4
42,10.0,16.0,urgent,0,12,1060,2.3
43,7.0,10.0,priority,0,24,950,1.8
44,9.0,36.0,priority,0,24,1330,3.8
45,16.0,42.0,regular,0,40,1380,3.7
46,32.0,40.0,regular,0,40,750,2.4
47,10.0,17.0,urgent,0,12,1190,3.1
48,17.0,31.0,regular,0,40,1030,3.8
49,38.0,46.0,regular,0,40,730,2.3
50,19.0,49.0,regular,0,40,870,3.5
51,28.0,48.0,priority,0,24,910,1.8
52,11.0,39.0,priority,0,24,740,2.4
53,12.0,23.0,priority,0,24,840,3.2
54,6.0,50.0,urgent,0,12,1390,4.6
55,2.0,44.0,regular,0,40,1450,5.5
56,13.0,35.0,regular,0,40,670,3.0
57,5.0,34.0,urgent,0,12,1260,5.5
58,2.0,50.0,regular,0,40,760,1.3
59,22.0,47.0,urgent,0,12,700,1.7
60,2.0,4.0,urgent,0,12,1080,2.6
61,22.0,39.0,regular,0,40,1020,3.4
62,10.0,49.0,regular,0,40,790,2.6
63,1.0,7.0,regular,0,40,920,2.8
64,9.0,47.0,priority,0,24,670,2.4
65,10.0,38.0,regular,0,40,860,4.0
66,24.0,39.0,regular,0,40,1080,2.9
67,21.0,33.0,urgent,0,12,840,1.9
68,23.0,32.0,urgent,0,12,750,2.5
69,23.0,32.0,priority,0,24,820,1.9
70,23.0,31.0,urgent,0,12,900,2.8
71,25.0,39.0,urgent,0,12,1000,2.5
72,10.0,39.0,priority,0,24,650,1.5
73,25.0,32.0,priority,0,24,750,1.9
74,36.0,50.0,regular,0,40,670,3.1
75,24.0,30.0,priority,0,24,1390,4.9
76,41.0,49.0,regular,0,40,720,1.7
77,22.0,46.0,urgent,0,12,1180,2.7
78,1.0,36.0,regular,0,40,760,1.4
79,22.0,46.0,regular,0,40,850,3.9
80,22.0,39.0,regular,0,40,1100,3.9
81,34.0,42.0,urgent,0,12,2380,6.8
82,1.0,29.0,priority,0,24,700,2.0
83,4.0,45.0,priority,0,24,1440,4.4
84,13.0,42.0,regular,0,40,1170,3.3
85,18.0,48.0,priority,0,24,770,3.5
86,8.0,27.0,regular,0,40,1000,2.1
87,4.0,38.0,regular,0,40,690,0.9
88,25.0,30.0,regular,0,40,950,1.9
89,17.0,50.0,priority,0,24,1190,3.3
90,37.0,39.0,urgent,0,12,1130,4.4
91,35.0,48.0,urgent,0,12,1180,5.0
92,3.0,44.0,priority,0,24,910,2.1
93,21.0,37.0,urgent,0,12,1100,2.4
94,5.0,39.0,priority,0,24,740,1.3
95,3.0,33.0,priority,0,24,1010,4.3
96,10.0,16.0,regular,0,40,870,3.4
97,4.0,16.0,regular,0,40,850,1.7
98,23.0,46.0,regular,0,40,740,1.4
99,1.0,33.0,regular,0,40,1020,4.1
100,28.0,41.0,urgent,0,12,880,2.9
101,13.0,50.0,urgent,0,12,1410,5.9
102,3.0,29.0,urgent,0,12,950,2.8
103,28.0,44.0,regular,0,40,800,1.5
104,5.0,25.0,urgent,0,12,730,3.6
105,7.0,13.0,priority,0,24,860,3.1
106,19.0,35.0,urgent,0,12,1330,3.7
107,10.0,29.0,urgent,0,12,880,2.6
108,46.0,48.0,urgent,0,12,890,1.6
109,6.0,25.0,urgent,0,12,1180,5.0
110,5.0,16.0,regular,0,40,870,3.3
111,13.0,33.0,urgent,0,12,1130,4.3
112,38.0,41.0,regular,0,40,1670,6.8
113,3.0,48.0,urgent,0,12,890,2.5
114,6.0,24.0,priority,0,24,860,2.7
115,18.0,28.0,urgent,0,12,1040,2.6
116,37.0,45.0,regular,0,40,640,1.1
117,9.0,20.0,priority,0,24,1400,3.2
118,2.0,35.0,urgent,0,12,740,2.8
119,4.0,48.0,regular,0,40,970,3.1
120,9.0,24.0,regular,0,40,1210,4.0
