id,from,to,label,release,deadline,weight,volume
1,14.0,38.0,regular,0,40,1010,2.5
2,3.0,10.0,priority,0,24,720,1.2
3,9.0,40.0,regular,0,40,550,1.3
4,6.0,38.0,priority,0,24,980,4.2
5,18.0,39.0,priority,0,24,900,3.0
6,4.0,16.0,urgent,0,12,1540,4.0
7,6.0,14.0,regular,0,40,930,2.9
8,17.0,24.0,urgent,0,12,1680,6.4
9,4.0,18.0,priority,0,24,880,4.2
10,7.0,34.0,priority,0,24,880,1.9
11,2.0,9.0,priority,0,24,1000,2.6
12,12.0,39.0,regular,0,40,690,2.7
13,32.0,35.0,priority,0,24,830,1.9
14,22.0,31.0,regular,0,40,860,4.0
15,12.0,19.0,regular,0,40,1890,7.7
16,16.0,47.0,regular,0,40,750,3.2
17,2.0,32.0,regular,0,40,920,2.0
18,11.0,13.0,regular,0,40,2040,5.8
19,1.0,34.0,priority,0,24,1040,4.1
20,21.0,24.0,priority,0,24,950,4.3
21,19.0,34.0,regular,0,40,880,3.7
22,35.0,44.0,urgent,0,12,1710,5.3
23,11.0,19.0,priority,0,24,690,2.6
24,20.0,33.0,regular,0,40,680,2.1
25,21.0,32.0,regular,0,40,670,2.2
26,19.0,44.0,regular,0,40,1220,3.6
27,38.0,49.0,urgent,0,12,590,3.2
28,31.0,48.0,priority,0,24,950,4.3
29,15.0,41.0,priority,0,24,1100,2.2
30,7.0,47.0,priority,0,24,1180,5.2
31,16.0,38.0,regular,0,40,950,2.4
32,18.0,45.0,regular,0,40,730,2.4
33,11.0,24.0,regular,0,40,920,2.4
34,6.0,8.0,regular,0,40,750,2.5
35,28.0,31.0,regular,0,40,610,1.7
36,19.0,49.0,regular,0,40,790,3.0
37,32.0,47.0,regular,0,40,700,3.4
38,28.0,33.0,regular,0,40,920,3.3
39,5.0,11.0,regular,0,40,650,1.8
40,2.0,5.0,regular,0,40,1070,4.9
41,20.0,22.0,regular,0,40,950,3.7
42,15.0,50.0,regular,0,40,850,3.7
43,30.0,38.0,regular,0,40,870,1.6
44,3.0,17.0,urgent,0,12,1020,4.8
45,19.0,28.0,urgent,0,12,710,2.4
46,30.0,34.0,regular,0,40,640,2.4
47,9.0,28.0,priority,0,24,940,3.6
48,13.0,14.0,regular,0,40,1020,4.3
49,1.0,20.0,regular,0,40,890,2.0
50,17.0,40.0,priority,0,24,670,2.0
51,9.0,44.0,priority,0,24,880,1.9
52,33.0,39.0,regular,0,40,590,2.1
53,4.0,21.0,urgent,0,12,1010,2.1
54,3.0,10.0,regular,0,40,1370,3.5
55,12.0,41.0,regular,0,40,1100,4.0
56,10.0,11.0,regular,0,40,710,2.4
57,20.0,32.0,regular,0,40,790,2.5
58,5.0,38.0,regular,0,40,990,2.9
59,24.0,35.0,regular,0,40,620,3.3
60,22.0,32.0,priority,0,24,1030,2.9
61,21.0,23.0,priority,0,24,600,2.4
62,16.0,46.0,priority,0,24,1250,3.1
63,41.0,43.0,regular,0,40,810,2.6
64,26.0,35.0,regular,0,40,1440,5.6
65,7.0,41.0,priority,0,24,820,2.0
66,19.0,45.0,priority,0,24,640,1.6
67,10.0,14.0,regular,0,40,720,1.2
68,13.0,42.0,priority,0,24,840,2.4
69,15.0,33.0,priority,0,24,690,1.6
70,15.0,27.0,regular,0,40,800,2.2
71,6.0,14.0,urgent,0,12,1040,3.5
72,18.0,47.0,regular,0,40,940,2.2
73,39.0,47.0,regular,0,40,630,1.9
74,9.0,44.0,priority,0,24,870,2.1
75,7.0,19.0,priority,0,24,890,3.6
76,6.0,30.0,priority,0,24,1140,4.0
77,8.0,35.0,urgent,0,12,1230,5.4
78,25.0,44.0,regular,0,40,650,3.1
79,18.0,37.0,regular,0,40,1400,4.0
80,7.0,10.0,urgent,0,12,730,3.6
81,17.0,49.0,regular,0,40,1720,5.4
82,17.0,27.0,priority,0,24,1310,4.9
83,14.0,28.0,priority,0,24,720,2.1
84,33.0,41.0,regular,0,40,800,3.2
85,38.0,46.0,regular,0,40,820,3.4
86,18.0,50.0,regular,0,40,710,1.6
87,4.0,11.0,urgent,0,12,610,3.3
88,32.0,49.0,urgent,0,12,1390,3.2
89,34.0,38.0,priority,0,24,670,2.7
90,3.0,28.0,regular,0,40,1020,3.3
91,7.0,19.0,regular,0,40,1080,3.4
92,22.0,41.0,priority,0,24,2060,7.1
93,1.0,2.0,regular,0,40,2160,7.6
94,9.0,30.0,regular,0,40,1000,2.5
95,6.0,19.0,priority,0,24,840,2.3
96,15.0,44.0,regular,0,40,1820,4.8
97,3.0,6.0,priority,0,24,1200,5.1
98,11.0,15.0,regular,0,40,700,1.0
99,14.0,30.0,urgent,0,12,780,1.6
100,6.0,16.0,priority,0,24,790,1.2
